,FullInfo Time,Duplex,EndofSet Time,EosVal,Eos - Full,IDInfo Time,IDInfo_ID,Exit Time,Delivered Time,Target Bin,EXIT ID,Fault,Error Code,ID - Eos,Eos >> ID,Exit - ID,Del - Exit,Pass / Fail
4,350726,0,350746,1293,20,352196,4,1971546.0,5724436.0,1,126.0,352776,703,1450,1,7320.0,2770.0,0
32,755456,1,755476,1304,20,758426,14,765736,768506,2,36,1817236.0,0,2950,1,7310,2770,1
143,5927336,1,5927356,220,20,5928596,64,5936076,5938846,2,162,1817236.0,0,1240,1,7480,2770,1
140,5904756,1,5904776,220,20,5906006,62,5913586,5916356,2,158,1817236.0,0,1230,1,7580,2770,1
97,1936826,0,1936836,220,10,1940096,42,1942576,5724436.0,1,126.0,1817236.0,0,3260,1,2480,2770.0,0
139,5903136,1,5903146,220,10,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
10,515546,0,515566,1294,20,517016,4,1971546.0,5724436.0,1,126.0,517596,703,1450,1,7320.0,2770.0,0
62,1092956,1,1092976,220,20,1094266,31,1101846,1104616,2,74,1817236.0,0,1290,1,7580,2770,1
181,6226376,1,6226396,220,20,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
141,5906036,1,5906056,1294,20,5908996,63,5916296,5919056,2,159,1817236.0,0,2940,1,7300,2760,1
0,344586,0,344606,220,20,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
174,6159046,1,6159066,1294,20,6162006,85,6169316,6172096,2,203,1817236.0,0,2940,1,7310,2780,1
148,5971996,1,5972016,220,20,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
70,1162916,1,1162936,220,20,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
114,5691506,1,5691526,1304,20,5694476,45,5701786,5704556,2,123,1817236.0,0,2950,1,7310,2770,1
64,1114586,1,1114606,220,20,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
44,847876,1,847896,1305,20,850846,22,858156,860926,2,52,1817236.0,0,2950,1,7310,2770,1
125,5790566,1,5790586,220,20,5791806,52,5799386,5802156,2,138,1817236.0,0,1220,1,7580,2770,1
28,730656,1,730676,220,20,731916,11,739496,742266,2,31,1817236.0,0,1240,1,7580,2770,1
40,821936,1,821956,220,20,823206,19,830776,833556,2,47,1817236.0,0,1250,1,7570,2780,1
182,6227986,1,6228006,220,20,6229266,90,6236856,6239636,2,214,1817236.0,0,1260,1,7590,2780,1
150,5974886,1,5974906,1294,20,5977846,69,5985166,5987936,2,171,1817236.0,0,2940,1,7320,2770,1
193,6355196,0,6355216,1294,20,6356666,95,1971546.0,5724436.0,1,126.0,6258196,703,1450,1,7320.0,2770.0,0
25,707176,1,707196,220,20,708496,9,716086,718856,2,27,1817236.0,0,1300,1,7590,2770,1
23,684596,1,684616,1304,20,687566,8,694886,697666,2,24,1817236.0,0,2950,1,7320,2780,1
146,5949896,1,5949916,220,20,5951186,66,5958776,5961556,2,166,1817236.0,0,1270,1,7590,2780,1
142,5925716,1,5925736,220,20,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
81,1744046,0,1744066,220,20,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
108,2136076,0,2136096,1293,20,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
79,1680526,0,1680546,1304,20,1682006,40,1684496,1687436,2,94,1817236.0,0,1460,1,2490,2940,1
84,1748696,0,1748706,1303,10,1750176,44,1971546.0,5724436.0,1,126.0,1817236.0,0,1470,1,7320.0,2770.0,0
39,820316,1,820336,220,20,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
